"SEX","GEO","UNIT","TIME","AGE","ICD10","Value","Flag and Footnotes"
"Total","Denmark","Rate","2012","Less than 65 years","Transport accidents (V01-V99, Y85)","3.06",""
"Total","Denmark","Rate","2012","Less than 65 years","Other accidents (W20-W64, W75-X39, X50-X59, Y86)","2.16",""
"Total","Denmark","Rate","2012","Less than 65 years","Falls","1.43",""
"Total","Denmark","Rate","2012","Less than 65 years","Accidental drowning and submersion","0.62",""
"Total","Denmark","Rate","2012","Less than 65 years","Intentional self-harm","10.58",""
"Total","Denmark","Rate","2012","Less than 65 years","Accidental poisoning by and exposure to noxious substances","4.05",""
"Total","Denmark","Rate","2012","Less than 65 years","Assault","0.37",""
"Total","Denmark","Rate","2012","Less than 65 years","Event of undetermined intent","0.96",""
"Total","Denmark","Rate","2012","Less than 65 years","Other external causes of morbidity and mortality (remainder of V01-Y89)","0.22",""
"Total","Denmark","Rate","2013","Total","All causes of death (A00-Y89) excluding S00-T98","1,073.82",""
"Total","Denmark","Rate","2013","Total","Certain infectious and parasitic diseases (A00-B99)","20.49",""
"Total","Denmark","Rate","2013","Total","Tuberculosis","0.27",""
"Total","Denmark","Rate","2013","Total","Viral hepatitis and sequelae of viral hepatitis","0.51",""
"Total","Denmark","Rate","2013","Total","Human immunodeficiency virus [HIV] disease","0.54",""
"Total","Denmark","Rate","2013","Total","Other infectious and parasitic diseases (remainder of A00-B99)","19.19",""
"Total","Denmark","Rate","2013","Total","Neoplasms","306.94",""
"Total","Denmark","Rate","2013","Total","Malignant neoplasms (C00-C97)","301.56",""
"Total","Denmark","Rate","2013","Total","Malignant neoplasm of lip, oral cavity, pharynx","6.5",""
"Total","Denmark","Rate","2013","Total","Malignant neoplasm of oesophagus","7.19",""
"Total","Denmark","Rate","2013","Total","Malignant neoplasm of stomach","7.05",""
"Total","Denmark","Rate","2013","Total","Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal","36.61",""
"Total","Denmark","Rate","2013","Total","Malignant neoplasm of liver and intrahepatic bile ducts","7.87",""
"Total","Denmark","Rate","2013","Total","Malignant neoplasm of pancreas","18.41",""
"Total","Denmark","Rate","2013","Total","Malignant neoplasm of larynx","1.9",""
"Total","Denmark","Rate","2013","Total","Malignant neoplasm of trachea, bronchus and lung","71.95",""
"Total","Denmark","Rate","2013","Total","Malignant melanoma of skin","5.77",""
"Total","Denmark","Rate","2013","Total","Malignant neoplasm of breast","21.85",""
"Total","Denmark","Rate","2013","Total","Malignant neoplasm of cervix uteri","2.18",""
"Total","Denmark","Rate","2013","Total","Malignant neoplasm of other parts of uterus","3.24",""
"Total","Denmark","Rate","2013","Total","Malignant neoplasm of ovary","7.08",""
"Total","Denmark","Rate","2013","Total","Malignant neoplasm of prostate","24.85",""
"Total","Denmark","Rate","2013","Total","Malignant neoplasm of kidney, except renal pelvis","5.55",""
"Total","Denmark","Rate","2013","Total","Malignant neoplasm of bladder","9.96",""
"Total","Denmark","Rate","2013","Total","Malignant neoplasm of brain and central nervous system","8.15",""
"Total","Denmark","Rate","2013","Total","Malignant neoplasm of thyroid gland","0.57",""
"Total","Denmark","Rate","2013","Total","Hodgkin disease and lymphomas","6.48",""
"Total","Denmark","Rate","2013","Total","Other malignant neoplasm of lymphoid, haematopoietic and related tissue","5.35",""
"Total","Denmark","Rate","2013","Total","Leukaemia","9.54",""
"Total","Denmark","Rate","2013","Total","Other malignant neoplasms (remainder of C00-C97)","33.52",""
"Total","Denmark","Rate","2013","Total","Non-malignant neoplasms (benign and uncertain)","5.38",""
"Total","Denmark","Rate","2013","Total","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","5.22",""
"Total","Denmark","Rate","2013","Total","Endocrine, nutritional and metabolic diseases (E00-E90)","34.68",""
"Total","Denmark","Rate","2013","Total","Diabetes mellitus","27.26",""
"Total","Denmark","Rate","2013","Total","Other endocrine, nutritional and metabolic diseases (remainder of E00-E90)","7.43",""
"Total","Denmark","Rate","2013","Total","Mental and behavioural disorders (F00-F99)","67.48",""
"Total","Denmark","Rate","2013","Total","Dementia","50.99",""
"Total","Denmark","Rate","2013","Total","Mental and behavioural disorders due to use of alcohol","12.58",""
"Total","Denmark","Rate","2013","Total","Drug dependence, toxicomania (F11-F16, F18-F19)","0.45",""
"Total","Denmark","Rate","2013","Total","Other mental and behavioural disorders (remainder of F00-F99)","3.46",""
"Total","Denmark","Rate","2013","Total","Diseases of the nervous system and the sense organs (G00-H95)","41.95",""
"Total","Denmark","Rate","2013","Total","Parkinson disease","7.94",""
"Total","Denmark","Rate","2013","Total","Alzheimer disease","21.18",""
"Total","Denmark","Rate","2013","Total","Other diseases of the nervous system and the sense organs (remainder of G00-H95)","12.83",""
"Total","Denmark","Rate","2013","Total","Diseases of the circulatory system (I00-I99)","267.68",""
"Total","Denmark","Rate","2013","Total","Ischaemic heart diseases","86.83",""
"Total","Denmark","Rate","2013","Total","Acute myocardial infarction including subsequent myocardial infarction","36.69",""
"Total","Denmark","Rate","2013","Total","Other ischaemic heart diseases","50.14",""
"Total","Denmark","Rate","2013","Total","Other heart diseases","63.5",""
"Total","Denmark","Rate","2013","Total","Cerebrovascular diseases","70.56",""
"Total","Denmark","Rate","2013","Total","Other diseases of the circulatory system (remainder of I00-I99)","46.78",""
"Total","Denmark","Rate","2013","Total","Diseases of the respiratory system (J00-J99)","127.54",""
"Total","Denmark","Rate","2013","Total","Influenza (including swine flu)","0.63",""
"Total","Denmark","Rate","2013","Total","Pneumonia","41.61",""
"Total","Denmark","Rate","2013","Total","Chronic lower respiratory diseases","73.42",""
"Total","Denmark","Rate","2013","Total","Asthma and status asthmaticus","1.23",""
"Total","Denmark","Rate","2013","Total","Other lower respiratory diseases","72.19",""
"Total","Denmark","Rate","2013","Total","Other diseases of the respiratory system (remainder of J00-J99)","11.88",""
"Total","Denmark","Rate","2013","Total","Diseases of the digestive system (K00-K93)","43.05",""
"Total","Denmark","Rate","2013","Total","Ulcer of stomach, duodenum and jejunum","5.5",""
"Total","Denmark","Rate","2013","Total","Chronic liver disease","12.54",""
"Total","Denmark","Rate","2013","Total","Other diseases of the digestive system (remainder of K00-K93)","25.01",""
"Total","Denmark","Rate","2013","Total","Diseases of the skin and subcutaneous tissue (L00-L99)","1.15",""
"Total","Denmark","Rate","2013","Total","Diseases of the musculoskeletal system and connective tissue (M00-M99)","7.49",""
"Total","Denmark","Rate","2013","Total","Rheumatoid arthritis and arthrosis (M05-M06,M15-M19)","2.23",""
"Total","Denmark","Rate","2013","Total","Other diseases of the musculoskeletal system and connective tissue (remainder of M00-M99)","5.26",""
"Total","Denmark","Rate","2013","Total","Diseases of the genitourinary system (N00-N99)","18.15",""
"Total","Denmark","Rate","2013","Total","Diseases of kidney and ureter","10.71",""
"Total","Denmark","Rate","2013","Total","Other diseases of the genitourinary system (remainder of N00-N99)","7.44",""
"Total","Denmark","Rate","2013","Total","Pregnancy, childbirth and the puerperium (O00-O99)","0.04",""
"Total","Denmark","Rate","2013","Total","Certain conditions originating in the perinatal period (P00-P96)","1.9",""
"Total","Denmark","Rate","2013","Total","Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)","2.45",""
"Total","Denmark","Rate","2013","Total","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","87.15",""
"Total","Denmark","Rate","2013","Total","Sudden infant death syndrome","0.07",""
"Total","Denmark","Rate","2013","Total","Ill-defined and unknown causes of mortality","62.9",""
"Total","Denmark","Rate","2013","Total","Other symptoms, signs and abnormal clinical and laboratory findings (remainder of R00-R99)","24.18",""
"Total","Denmark","Rate","2013","Total","External causes of morbidity and mortality (V01-Y89)","40.47",""
"Total","Denmark","Rate","2013","Total","Accidents (V01-X59, Y85, Y86)","27.3",""
"Total","Denmark","Rate","2013","Total","Transport accidents (V01-V99, Y85)","4.07",""
"Total","Denmark","Rate","2013","Total","Other accidents (W20-W64, W75-X39, X50-X59, Y86)","7.51",""
"Total","Denmark","Rate","2013","Total","Falls","11.49",""
"Total","Denmark","Rate","2013","Total","Accidental drowning and submersion","0.55",""
"Total","Denmark","Rate","2013","Total","Intentional self-harm","11.28",""
"Total","Denmark","Rate","2013","Total","Accidental poisoning by and exposure to noxious substances","3.69",""
"Total","Denmark","Rate","2013","Total","Assault","0.35",""
"Total","Denmark","Rate","2013","Total","Event of undetermined intent","0.7",""
"Total","Denmark","Rate","2013","Total","Other external causes of morbidity and mortality (remainder of V01-Y89)","0.84",""
"Total","Denmark","Rate","2013","Less than 65 years","All causes of death (A00-Y89) excluding S00-T98","199.28",""
"Total","Denmark","Rate","2013","Less than 65 years","Certain infectious and parasitic diseases (A00-B99)","2.93",""
"Total","Denmark","Rate","2013","Less than 65 years","Tuberculosis","0.22",""
"Total","Denmark","Rate","2013","Less than 65 years","Viral hepatitis and sequelae of viral hepatitis","0.45",""
"Total","Denmark","Rate","2013","Less than 65 years","Human immunodeficiency virus [HIV] disease","0.4",""
"Total","Denmark","Rate","2013","Less than 65 years","Other infectious and parasitic diseases (remainder of A00-B99)","1.89",""
"Total","Denmark","Rate","2013","Less than 65 years","Neoplasms","76.32",""
"Total","Denmark","Rate","2013","Less than 65 years","Malignant neoplasms (C00-C97)","75.75",""
"Total","Denmark","Rate","2013","Less than 65 years","Malignant neoplasm of lip, oral cavity, pharynx","3.01",""
"Total","Denmark","Rate","2013","Less than 65 years","Malignant neoplasm of oesophagus","2.77",""
"Total","Denmark","Rate","2013","Less than 65 years","Malignant neoplasm of stomach","2.23",""
"Total","Denmark","Rate","2013","Less than 65 years","Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal","7.59",""
"Total","Denmark","Rate","2013","Less than 65 years","Malignant neoplasm of liver and intrahepatic bile ducts","2.57",""
"Total","Denmark","Rate","2013","Less than 65 years","Malignant neoplasm of pancreas","5.17",""
"Total","Denmark","Rate","2013","Less than 65 years","Malignant neoplasm of larynx","0.76",""
"Total","Denmark","Rate","2013","Less than 65 years","Malignant neoplasm of trachea, bronchus and lung","18.96",""
"Total","Denmark","Rate","2013","Less than 65 years","Malignant melanoma of skin","2.23",""
"Total","Denmark","Rate","2013","Less than 65 years","Malignant neoplasm of breast","6.64",""
"Total","Denmark","Rate","2013","Less than 65 years","Malignant neoplasm of cervix uteri","1.02",""
"Total","Denmark","Rate","2013","Less than 65 years","Malignant neoplasm of other parts of uterus","0.58",""
"Total","Denmark","Rate","2013","Less than 65 years","Malignant neoplasm of ovary","2.44",""
"Total","Denmark","Rate","2013","Less than 65 years","Malignant neoplasm of prostate","1.65",""
"Total","Denmark","Rate","2013","Less than 65 years","Malignant neoplasm of kidney, except renal pelvis","1.4",""
"Total","Denmark","Rate","2013","Less than 65 years","Malignant neoplasm of bladder","1.43",""
"Total","Denmark","Rate","2013","Less than 65 years","Malignant neoplasm of brain and central nervous system","4.29",""
"Total","Denmark","Rate","2013","Less than 65 years","Malignant neoplasm of thyroid gland","0.16",""
"Total","Denmark","Rate","2013","Less than 65 years","Hodgkin disease and lymphomas","1.3",""
"Total","Denmark","Rate","2013","Less than 65 years","Other malignant neoplasm of lymphoid, haematopoietic and related tissue","0.74",""
"Total","Denmark","Rate","2013","Less than 65 years","Leukaemia","1.67",""
"Total","Denmark","Rate","2013","Less than 65 years","Other malignant neoplasms (remainder of C00-C97)","7.15",""
"Total","Denmark","Rate","2013","Less than 65 years","Non-malignant neoplasms (benign and uncertain)","0.57",""
"Total","Denmark","Rate","2013","Less than 65 years","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","0.6",""
"Total","Denmark","Rate","2013","Less than 65 years","Endocrine, nutritional and metabolic diseases (E00-E90)","7.04",""
"Total","Denmark","Rate","2013","Less than 65 years","Diabetes mellitus","4.83",""
"Total","Denmark","Rate","2013","Less than 65 years","Other endocrine, nutritional and metabolic diseases (remainder of E00-E90)","2.22",""
"Total","Denmark","Rate","2013","Less than 65 years","Mental and behavioural disorders (F00-F99)","11.59",""
"Total","Denmark","Rate","2013","Less than 65 years","Dementia","0.4",""
"Total","Denmark","Rate","2013","Less than 65 years","Mental and behavioural disorders due to use of alcohol","9.54",""
"Total","Denmark","Rate","2013","Less than 65 years","Drug dependence, toxicomania (F11-F16, F18-F19)","0.49",""
"Total","Denmark","Rate","2013","Less than 65 years","Other mental and behavioural disorders (remainder of F00-F99)","1.16",""
"Total","Denmark","Rate","2013","Less than 65 years","Diseases of the nervous system and the sense organs (G00-H95)","6.53",""
"Total","Denmark","Rate","2013","Less than 65 years","Parkinson disease","0.44",""
"Total","Denmark","Rate","2013","Less than 65 years","Alzheimer disease","0.6",""
"Total","Denmark","Rate","2013","Less than 65 years","Other diseases of the nervous system and the sense organs (remainder of G00-H95)","5.49",""
"Total","Denmark","Rate","2013","Less than 65 years","Diseases of the circulatory system (I00-I99)","28.56",""
"Total","Denmark","Rate","2013","Less than 65 years","Ischaemic heart diseases","11.07",""
"Total","Denmark","Rate","2013","Less than 65 years","Acute myocardial infarction including subsequent myocardial infarction","5.87",""
"Total","Denmark","Rate","2013","Less than 65 years","Other ischaemic heart diseases","5.21",""
"Total","Denmark","Rate","2013","Less than 65 years","Other heart diseases","6.06",""
"Total","Denmark","Rate","2013","Less than 65 years","Cerebrovascular diseases","6.55",""
"Total","Denmark","Rate","2013","Less than 65 years","Other diseases of the circulatory system (remainder of I00-I99)","4.88",""
"Total","Denmark","Rate","2013","Less than 65 years","Diseases of the respiratory system (J00-J99)","10.59",""
"Total","Denmark","Rate","2013","Less than 65 years","Influenza (including swine flu)","0.11",""
"Total","Denmark","Rate","2013","Less than 65 years","Pneumonia","1.93",""
"Total","Denmark","Rate","2013","Less than 65 years","Chronic lower respiratory diseases","7.41",""
"Total","Denmark","Rate","2013","Less than 65 years","Asthma and status asthmaticus","0.37",""
"Total","Denmark","Rate","2013","Less than 65 years","Other lower respiratory diseases","7.03",""
"Total","Denmark","Rate","2013","Less than 65 years","Other diseases of the respiratory system (remainder of J00-J99)","1.15",""
"Total","Denmark","Rate","2013","Less than 65 years","Diseases of the digestive system (K00-K93)","14.41",""
"Total","Denmark","Rate","2013","Less than 65 years","Ulcer of stomach, duodenum and jejunum","0.85",""
"Total","Denmark","Rate","2013","Less than 65 years","Chronic liver disease","9.11",""
"Total","Denmark","Rate","2013","Less than 65 years","Other diseases of the digestive system (remainder of K00-K93)","4.45",""
"Total","Denmark","Rate","2013","Less than 65 years","Diseases of the skin and subcutaneous tissue (L00-L99)","0.2",""
"Total","Denmark","Rate","2013","Less than 65 years","Diseases of the musculoskeletal system and connective tissue (M00-M99)","0.78",""
"Total","Denmark","Rate","2013","Less than 65 years","Rheumatoid arthritis and arthrosis (M05-M06,M15-M19)","0.24",""
"Total","Denmark","Rate","2013","Less than 65 years","Other diseases of the musculoskeletal system and connective tissue (remainder of M00-M99)","0.54",""
"Total","Denmark","Rate","2013","Less than 65 years","Diseases of the genitourinary system (N00-N99)","0.88",""
"Total","Denmark","Rate","2013","Less than 65 years","Diseases of kidney and ureter","0.68",""
"Total","Denmark","Rate","2013","Less than 65 years","Other diseases of the genitourinary system (remainder of N00-N99)","0.2",""
"Total","Denmark","Rate","2013","Less than 65 years","Pregnancy, childbirth and the puerperium (O00-O99)","0.04",""
"Total","Denmark","Rate","2013","Less than 65 years","Certain conditions originating in the perinatal period (P00-P96)","2.36",""
"Total","Denmark","Rate","2013","Less than 65 years","Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)","2.29",""
"Total","Denmark","Rate","2013","Less than 65 years","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","12.53",""
"Total","Denmark","Rate","2013","Less than 65 years","Sudden infant death syndrome","0.09",""
"Total","Denmark","Rate","2013","Less than 65 years","Ill-defined and unknown causes of mortality","12.32",""
"Total","Denmark","Rate","2013","Less than 65 years","Other symptoms, signs and abnormal clinical and laboratory findings (remainder of R00-R99)","0.13",""
"Total","Denmark","Rate","2013","Less than 65 years","External causes of morbidity and mortality (V01-Y89)","21.61",""
"Total","Denmark","Rate","2013","Less than 65 years","Accidents (V01-X59, Y85, Y86)","10.68",""
"Total","Denmark","Rate","2013","Less than 65 years","Transport accidents (V01-V99, Y85)","3.29",""
"Total","Denmark","Rate","2013","Less than 65 years","Other accidents (W20-W64, W75-X39, X50-X59, Y86)","1.72",""
"Total","Denmark","Rate","2013","Less than 65 years","Falls","1.13",""
"Total","Denmark","Rate","2013","Less than 65 years","Accidental drowning and submersion","0.42",""
"Total","Denmark","Rate","2013","Less than 65 years","Intentional self-harm","9.54",""
"Total","Denmark","Rate","2013","Less than 65 years","Accidental poisoning by and exposure to noxious substances","4.12",""
"Total","Denmark","Rate","2013","Less than 65 years","Assault","0.41",""
"Total","Denmark","Rate","2013","Less than 65 years","Event of undetermined intent","0.69",""
"Total","Denmark","Rate","2013","Less than 65 years","Other external causes of morbidity and mortality (remainder of V01-Y89)","0.29",""
"Total","Germany (until 1990 former territory of the FRG)","Rate","2011","Total","All causes of death (A00-Y89) excluding S00-T98","1,004.77","i"
"Total","Germany (until 1990 former territory of the FRG)","Rate","2011","Total","Certain infectious and parasitic diseases (A00-B99)","19.6","i"
"Total","Germany (until 1990 former territory of the FRG)","Rate","2011","Total","Tuberculosis","0.4","i"
"Total","Germany (until 1990 former territory of the FRG)","Rate","2011","Total","Viral hepatitis and sequelae of viral hepatitis","1.22","i"
"Total","Germany (until 1990 former territory of the FRG)","Rate","2011","Total","Human immunodeficiency virus [HIV] disease","0.54","i"
"Total","Germany (until 1990 former territory of the FRG)","Rate","2011","Total","Other infectious and parasitic diseases (remainder of A00-B99)","17.44","i"
"Total","Germany (until 1990 former territory of the FRG)","Rate","2011","Total","Neoplasms","265.26","i"
"Total","Germany (until 1990 former territory of the FRG)","Rate","2011","Total","Malignant neoplasms (C00-C97)","257.49","i"
"Total","Germany (until 1990 former territory of the FRG)","Rate","2011","Total","Malignant neoplasm of lip, oral cavity, pharynx","6.28","i"
"Total","Germany (until 1990 former territory of the FRG)","Rate","2011","Total","Malignant neoplasm of oesophagus","5.97","i"
"Total","Germany (until 1990 former territory of the FRG)","Rate","2011","Total","Malignant neoplasm of stomach","11.71","i"
"Total","Germany (until 1990 former territory of the FRG)","Rate","2011","Total","Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal","30.62","i"
"Total","Germany (until 1990 former territory of the FRG)","Rate","2011","Total","Malignant neoplasm of liver and intrahepatic bile ducts","8.77","i"
"Total","Germany (until 1990 former territory of the FRG)","Rate","2011","Total","Malignant neoplasm of pancreas","18.49","i"
"Total","Germany (until 1990 former territory of the FRG)","Rate","2011","Total","Malignant neoplasm of larynx","1.8","i"
"Total","Germany (until 1990 former territory of the FRG)","Rate","2011","Total","Malignant neoplasm of trachea, bronchus and lung","51.01","i"
"Total","Germany (until 1990 former territory of the FRG)","Rate","2011","Total","Malignant melanoma of skin","3.38","i"
"Total","Germany (until 1990 former territory of the FRG)","Rate","2011","Total","Malignant neoplasm of breast","20.95","i"
"Total","Germany (until 1990 former territory of the FRG)","Rate","2011","Total","Malignant neoplasm of cervix uteri","1.88","i"
"Total","Germany (until 1990 former territory of the FRG)","Rate","2011","Total","Malignant neoplasm of other parts of uterus","2.84","i"
"Total","Germany (until 1990 former territory of the FRG)","Rate","2011","Total","Malignant neoplasm of ovary","6.75","i"
"Total","Germany (until 1990 former territory of the FRG)","Rate","2011","Total","Malignant neoplasm of prostate","15.45","i"
"Total","Germany (until 1990 former territory of the FRG)","Rate","2011","Total","Malignant neoplasm of kidney, except renal pelvis","6.17","i"
"Total","Germany (until 1990 former territory of the FRG)","Rate","2011","Total","Malignant neoplasm of bladder","6.92","i"
"Total","Germany (until 1990 former territory of the FRG)","Rate","2011","Total","Malignant neoplasm of brain and central nervous system","6.7","i"
"Total","Germany (until 1990 former territory of the FRG)","Rate","2011","Total","Malignant neoplasm of thyroid gland","0.84","i"
"Total","Germany (until 1990 former territory of the FRG)","Rate","2011","Total","Hodgkin disease and lymphomas","7.47","i"
"Total","Germany (until 1990 former territory of the FRG)","Rate","2011","Total","Other malignant neoplasm of lymphoid, haematopoietic and related tissue","4.76","i"
"Total","Germany (until 1990 former territory of the FRG)","Rate","2011","Total","Leukaemia","8.85","i"
"Total","Germany (until 1990 former territory of the FRG)","Rate","2011","Total","Other malignant neoplasms (remainder of C00-C97)","29.89","i"
"Total","Germany (until 1990 former territory of the FRG)","Rate","2011","Total","Non-malignant neoplasms (benign and uncertain)","7.76","i"
"Total","Germany (until 1990 former territory of the FRG)","Rate","2011","Total","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","3.16","i"
"Total","Germany (until 1990 former territory of the FRG)","Rate","2011","Total","Endocrine, nutritional and metabolic diseases (E00-E90)","35.2","i"
"Total","Germany (until 1990 former territory of the FRG)","Rate","2011","Total","Diabetes mellitus","27.75","i"
"Total","Germany (until 1990 former territory of the FRG)","Rate","2011","Total","Other endocrine, nutritional and metabolic diseases (remainder of E00-E90)","7.46","i"
"Total","Germany (until 1990 former territory of the FRG)","Rate","2011","Total","Mental and behavioural disorders (F00-F99)","32.27","i"
"Total","Germany (until 1990 former territory of the FRG)","Rate","2011","Total","Dementia","24.61","i"
"Total","Germany (until 1990 former territory of the FRG)","Rate","2011","Total","Mental and behavioural disorders due to use of alcohol","5.68","i"
"Total","Germany (until 1990 former territory of the FRG)","Rate","2011","Total","Drug dependence, toxicomania (F11-F16, F18-F19)","0.86","i"
"Total","Germany (until 1990 former territory of the FRG)","Rate","2011","Total","Other mental and behavioural disorders (remainder of F00-F99)","1.11","i"
"Total","Germany (until 1990 former territory of the FRG)","Rate","2011","Total","Diseases of the nervous system and the sense organs (G00-H95)","26.62","i"
"Total","Germany (until 1990 former territory of the FRG)","Rate","2011","Total","Parkinson disease","8.42","i"
"Total","Germany (until 1990 former territory of the FRG)","Rate","2011","Total","Alzheimer disease","6.53","i"
"Total","Germany (until 1990 former territory of the FRG)","Rate","2011","Total","Other diseases of the nervous system and the sense organs (remainder of G00-H95)","11.67","i"
"Total","Germany (until 1990 former territory of the FRG)","Rate","2011","Total","Diseases of the circulatory system (I00-I99)","406.25","i"
"Total","Germany (until 1990 former territory of the FRG)","Rate","2011","Total","Ischaemic heart diseases","150.41","i"
"Total","Germany (until 1990 former territory of the FRG)","Rate","2011","Total","Acute myocardial infarction including subsequent myocardial infarction","65.12","i"
"Total","Germany (until 1990 former territory of the FRG)","Rate","2011","Total","Other ischaemic heart diseases","85.3","i"
"Total","Germany (until 1990 former territory of the FRG)","Rate","2011","Total","Other heart diseases","107.12","i"
"Total","Germany (until 1990 former territory of the FRG)","Rate","2011","Total","Cerebrovascular diseases","69.85","i"
"Total","Germany (until 1990 former territory of the FRG)","Rate","2011","Total","Other diseases of the circulatory system (remainder of I00-I99)","78.86","i"
"Total","Germany (until 1990 former territory of the FRG)","Rate","2011","Total","Diseases of the respiratory system (J00-J99)","70.47","i"
"Total","Germany (until 1990 former territory of the FRG)","Rate","2011","Total","Influenza (including swine flu)","0.27","i"
"Total","Germany (until 1990 former territory of the FRG)","Rate","2011","Total","Pneumonia","22.88","i"
"Total","Germany (until 1990 former territory of the FRG)","Rate","2011","Total","Chronic lower respiratory diseases","34.25","i"
"Total","Germany (until 1990 former territory of the FRG)","Rate","2011","Total","Asthma and status asthmaticus","1.39","i"
"Total","Germany (until 1990 former territory of the FRG)","Rate","2011","Total","Other lower respiratory diseases","32.86","i"
"Total","Germany (until 1990 former territory of the FRG)","Rate","2011","Total","Other diseases of the respiratory system (remainder of J00-J99)","13.07","i"
"Total","Germany (until 1990 former territory of the FRG)","Rate","2011","Total","Diseases of the digestive system (K00-K93)","47.36","i"
"Total","Germany (until 1990 former territory of the FRG)","Rate","2011","Total","Ulcer of stomach, duodenum and jejunum","3.35","i"
"Total","Germany (until 1990 former territory of the FRG)","Rate","2011","Total","Chronic liver disease","16.3","i"
"Total","Germany (until 1990 former territory of the FRG)","Rate","2011","Total","Other diseases of the digestive system (remainder of K00-K93)","27.72","i"
"Total","Germany (until 1990 former territory of the FRG)","Rate","2011","Total","Diseases of the skin and subcutaneous tissue (L00-L99)","1.37","i"
"Total","Germany (until 1990 former territory of the FRG)","Rate","2011","Total","Diseases of the musculoskeletal system and connective tissue (M00-M99)","3.6","i"
"Total","Germany (until 1990 former territory of the FRG)","Rate","2011","Total","Rheumatoid arthritis and arthrosis (M05-M06,M15-M19)","0.76","i"
"Total","Germany (until 1990 former territory of the FRG)","Rate","2011","Total","Other diseases of the musculoskeletal system and connective tissue (remainder of M00-M99)","2.84","i"
"Total","Germany (until 1990 former territory of the FRG)","Rate","2011","Total","Diseases of the genitourinary system (N00-N99)","23.24","i"
"Total","Germany (until 1990 former territory of the FRG)","Rate","2011","Total","Diseases of kidney and ureter","18.56","i"
"Total","Germany (until 1990 former territory of the FRG)","Rate","2011","Total","Other diseases of the genitourinary system (remainder of N00-N99)","4.68","i"
"Total","Germany (until 1990 former territory of the FRG)","Rate","2011","Total","Pregnancy, childbirth and the puerperium (O00-O99)","0.04","i"
"Total","Germany (until 1990 former territory of the FRG)","Rate","2011","Total","Certain conditions originating in the perinatal period (P00-P96)","1.85","i"
"Total","Germany (until 1990 former territory of the FRG)","Rate","2011","Total","Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)","2.2","i"
"Total","Germany (until 1990 former territory of the FRG)","Rate","2011","Total","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","26.83","i"
"Total","Germany (until 1990 former territory of the FRG)","Rate","2011","Total","Sudden infant death syndrome","0.22","i"
"Total","Germany (until 1990 former territory of the FRG)","Rate","2011","Total","Ill-defined and unknown causes of mortality","20.85","i"
"Total","Germany (until 1990 former territory of the FRG)","Rate","2011","Total","Other symptoms, signs and abnormal clinical and laboratory findings (remainder of R00-R99)","5.76","i"
"Total","Germany (until 1990 former territory of the FRG)","Rate","2011","Total","External causes of morbidity and mortality (V01-Y89)","39.46","i"
"Total","Germany (until 1990 former territory of the FRG)","Rate","2011","Total","Accidents (V01-X59, Y85, Y86)","23.23","i"
"Total","Germany (until 1990 former territory of the FRG)","Rate","2011","Total","Transport accidents (V01-V99, Y85)","5.39","i"
"Total","Germany (until 1990 former territory of the FRG)","Rate","2011","Total","Other accidents (W20-W64, W75-X39, X50-X59, Y86)","4.91","i"
"Total","Germany (until 1990 former territory of the FRG)","Rate","2011","Total","Falls","11.62","i"
"Total","Germany (until 1990 former territory of the FRG)","Rate","2011","Total","Accidental drowning and submersion","0.54","i"
"Total","Germany (until 1990 former territory of the FRG)","Rate","2011","Total","Intentional self-harm","11.9","i"
"Total","Germany (until 1990 former territory of the FRG)","Rate","2011","Total","Accidental poisoning by and exposure to noxious substances","0.77","i"
"Total","Germany (until 1990 former territory of the FRG)","Rate","2011","Total","Assault","0.53","i"
"Total","Germany (until 1990 former territory of the FRG)","Rate","2011","Total","Event of undetermined intent","2.31","i"
"Total","Germany (until 1990 former territory of the FRG)","Rate","2011","Total","Other external causes of morbidity and mortality (remainder of V01-Y89)","1.49","i"
"Total","Germany (until 1990 former territory of the FRG)","Rate","2011","Less than 65 years","All causes of death (A00-Y89) excluding S00-T98","205.04",""
"Total","Germany (until 1990 former territory of the FRG)","Rate","2011","Less than 65 years","Certain infectious and parasitic diseases (A00-B99)","3.59",""
"Total","Germany (until 1990 former territory of the FRG)","Rate","2011","Less than 65 years","Tuberculosis","0.12",""
"Total","Germany (until 1990 former territory of the FRG)","Rate","2011","Less than 65 years","Viral hepatitis and sequelae of viral hepatitis","0.57",""
"Total","Germany (until 1990 former territory of the FRG)","Rate","2011","Less than 65 years","Human immunodeficiency virus [HIV] disease","0.55",""
